X,Y,SlipRateID,FaultID,FaultName,State,SiteName,DataType,Observn,PrefRate,LowRate,HighRate,RateUnct,RateType,ReptReint,OffType,AgeType,NumEvents,RateAge,QbinMin,QbinMax,x2014dip,x2014rake,x2014rate,Reference,AppB
-117.773321052,35.9503226471,SR-0001,1,Airport Lake,CA,approx centroid,QFFD slip rate bin,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0.2,1,unknown,No value listed for QFFD slip rate bins,reported,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0.2,1,50,90,0.39,QFFD,no
-121.238493882,40.4057387967,SR-0002,2,Almanor,CA,East Benner Creek,slip rate study,Net slip rate and net slip as reported by Kelson and others. (1995).  Kelson age estimate based on correlation of glacial deposits. Kelson and others. (1995) also report other interval rates of > 0.9 - 1.7 mm/yr (59 - 75 ka) and > 0.5 - 1.8 mm/yr (130 -,,1.1,3.3,unknown,net (vertical + left-lateral),reported (author reported rate as recorded in Appendix B),moraine,correlation,unlisted,11-130,1,5,90,45,2,Kelson and others (1995),yes
-117.419905469,36.2829851573,SR-0003,6,Ash Hill,CA,Ash Hill,slip rate study,"Long term slip rate, net slip reported based on 1200 ± 300 m of hz, 230 ± 30 m vertical, and 5.2 : 1 Hz:V dip slip ratio (321 slip vector). Rate is roughly consistent with the Late Quaternary rate reported by the same authors.",0.3,0.2,1,unknown,net (vertical + right-lateral),reported (author reported rate as recorded in Appendix B),basalt flow,K/Ar,unlisted,> 2600,0.2,1,90,180,0.3,Densmore and Anderson (1997),yes
-116.152947357,35.2668934362,SR-0004,7,Baker,CA,approx centroid,QFFD slip rate bin,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0,0.2,unknown,No value listed for QFFD slip rate bins,reported,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0,0.2,90,180,0.01,QFFD,no
-123.056321237,39.5845264228,SR-0005,8,Bartlett Springs,CA,approx centroid,QFFD slip rate bin,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,1,5,unknown,No value listed for QFFD slip rate bins,reported,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,1,5,90,180,4,QFFD,no
-121.991280037,40.4424043916,SR-0006,9,Battle Creek,CA,per Page and Renne (1994),slip rate study,"Page and Renne (1994) report 60 ka lava flow that crosses fault is unfaulted.  Site coordinates  approximate. Based on faulting of Brokeoff Mt flow. Note that in UCERF2, the Battle Creek fault was considered a normal fault, but more recent evidence sugge",0.1,0,0.5,unknown,unprojected (vertical),reported (author reported rate as recorded in Appendix B),lava flow,Ar-Ar,unknown,130-750,0.2,1,74,90,0.1,Page and Renne (1994),yes
-124.402631059,40.4616206612,SR-0007,10,Bear River,CA,approx centroid,QFFD slip rate bin,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0,0.2,unknown,No value listed for QFFD slip rate bins,reported,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0,0.2,60,90,0.01,QFFD,no
-122.54190396,38.2690285042,SR-0008,903,Rodgers Creek - Healdsburg,CA,Beebe Ranch,slip rate study,"2 - 3 interval short term (~900 yr) rate.  Schwartz and others (1992) revised the rate of Budding and others (1991) based on newer radiocarbon dates, and report 775 yrs as the amount of time this offset accumulated over.  Because the age date is not repo",,6.4,10.4,unknown,horizontal,reported (only range listed in Appendix B; range of preferred values included),buried debris flow,C14,unlisted,<1,5,35,90,180,0.01,Schwartz and others (1992); Budding and others (1991),yes
-116.562202707,35.2505124676,SR-0009,12,Bicycle Lake,CA,approx centroid,QFFD slip rate bin,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0,0.2,unknown,No value listed for QFFD slip rate bins,reported,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0,0.2,90,0,0.01,QFFD,no
-124.109810062,41.1882920218,SR-0010,13,Big Lagoon,CA,BM1,slip rate study,"Reported rate is vertical separation.  Net rate reported by McCrory is 1.1 mm/yr.  UCERF3 calculates slip rate of 1 ¬± 0.2 mm/yr, using the UCERF3-assigned fault dip of 35 degrees.",0.55,0.45,0.68,unknown,unprojected (vertical),"reported (author reported rate as recorded in Appendix B, including reported min and max rates)",stratigraphic marker,Assumed timing initiation of deformation,unknown,750-2600,0.2,1,35,90,1,McCrory (1996),yes
