sid,name
SR-0001,Airport Lake
SR-0002,Almanor
SR-0003,Ash Hill
SR-0004,Baker
SR-0005,Bartlett Springs
SR-0006,Battle Creek
SR-0007,Bear River
SR-0008,Rodgers Creek - Healdsburg
SR-0009,Bicycle Lake
SR-0010,Big Lagoon
SR-0011,Big Pine (center)
SR-0012,Big Pine (east)
SR-0013,Big Pine (west)
SR-0014,Blackwater
SR-0015,Blue Cut
SR-0016,Brawley
SR-0017,Breckenridge
SR-0018,Bullion Mountains
SR-0019,Burnt Mountain
SR-0020,Cady
SR-0021,Calico - Hidalgo
SR-0022,Calico - Hidalgo
SR-0023,Camp Rock
SR-0024,Cedar Mountain - Mahogany Mountain
SR-0025,Channel Islands
SR-0026,Mid Channel
SR-0027,Chino
SR-0028,Clayton
SR-0029,Cleghorn
SR-0030,Cleghorn Lake
SR-0031,Cleghorn Pass
SR-0032,Collayomi
SR-0033,Palos Verdes
SR-0034,Compton
SR-0035,Concord
SR-0036,Concord
SR-0037,Coronado Bank
SR-0038,Coyote Canyon
SR-0039,Coyote Lake
SR-0040,"Lytle Creek (San Jacinto, connector)"
SR-0041,Cucamonga
SR-0042,Cucamonga
SR-0043,Cuyama (south)
SR-0044,Davis Creek
SR-0045,Death Valley (Black Mountains)
SR-0046,Death Valley (Black Mountains)
SR-0047,Death Valley (Black Mountains)
SR-0048,Fish Lake Valley
SR-0049,Fish Lake Valley
SR-0050,Death Valley (Fish Lake Valley)
SR-0051,Death Valley (Fish Lake Valley)
SR-0052,Fish Lake Valley
SR-0053,Death Valley (north)
SR-0054,Death Valley (south)
SR-0055,Deep Springs
SR-0056,Holser
SR-0057,Holser
SR-0058,Dog Valley
SR-0059,Dry Mountain
SR-0060,Earthquake Valley (center)
SR-0061,East Huasna
SR-0062,Elmore Ranch
SR-0063,Puente Hills (Coyote Hills)
SR-0064,Puente Hills (Santa Fe Springs)
SR-0065,Puente Hills (Coyote Hills)
SR-0066,Elysian Park (upper)
SR-0067,Eureka Peak
SR-0069,Mad River
SR-0070,Fickle Hill
SR-0071,Mad River
SR-0072,Fickle Hill
SR-0073,Fish Slough
SR-0074,Fitzhugh Creek
SR-0075,Fontana (seismicity)
SR-0076,Garberville - Briceland
SR-0077,Garlic Springs
SR-0078,Gillem - Big Crack
SR-0079,Goldstone Lake
SR-0080,Gravel Hills - Harper Lake
SR-0081,Great Valley 1
SR-0082,Great Valley 10 (Panoche)
SR-0083,Great Valley 11
SR-0084,Great Valley 12
SR-0085,Great Valley 13 (Coalinga)
SR-0086,Great Valley 14 (Kettleman Hills)
SR-0087,Great Valley 2
SR-0088,Great Valley 3 (Mysterious Ridge)
SR-0089,Great Valley 3a (Dunnigan Hills)
SR-0090,Great Valley 4a (Trout Creek)
SR-0091,Great Valley 4b (Gordon Valley)
SR-0092,Great Valley 5 (Pittsburg - Kirby Hills)
SR-0093,Great Valley 6 (Midland)
SR-0094,Great Valley 6 (Midland)
SR-0095,Great Valley 7 (Orestimba)
SR-0096,Great Valley 8 (Quinto)
SR-0097,Great Valley 9 (Laguna Seca)
SR-0098,Green Valley
SR-0099,Greenville (north)
SR-0100,Greenville (south)
SR-0101,Hartley Springs
SR-0102,Hat Creek
SR-0103,Mayfield
SR-0104,Hat Creek
SR-0105,Helendale - Lockhart (south)
SR-0106,Hilton Creek
SR-0107,Hilton Creek
SR-0108,Hilton Creek
SR-0109,Hilton Creek
SR-0110,Hilton Creek
SR-0111,Hollywood
SR-0112,San Gabriel
SR-0113,Pinto Mountain
SR-0114,Honey Lake
SR-0115,Honey Lake
SR-0116,Hosgri
SR-0117,Hosgri
SR-0118,Hosgri
SR-0119,Hosgri
SR-0120,Hunter Mountain - Saline Valley
SR-0121,Hunter Mountain - Saline Valley
SR-0122,Hunter Mountain - Saline Valley
SR-0123,Hunting Creek - Berryessa
SR-0124,Imperial
SR-0125,Independence
