sid,x,y
SR-0001,-117.773321052,35.9503226471
SR-0002,-121.238493882,40.4057387967
SR-0003,-117.419905469,36.2829851573
SR-0004,-116.152947357,35.2668934362
SR-0005,-123.056321237,39.5845264228
SR-0006,-121.991280037,40.4424043916
SR-0007,-124.402631059,40.4616206612
SR-0008,-122.54190396,38.2690285042
SR-0009,-116.562202707,35.2505124676
SR-0010,-124.109810062,41.1882920218
SR-0011,-119.245594641,34.713385859
SR-0012,-119.112364778,34.7625149932
SR-0013,-119.525425332,34.6723152027
SR-0014,-117.19988257,35.2074677228
SR-0015,-115.837710789,33.9112105385
SR-0016,-115.561900951,33.0984933733
SR-0017,-118.546044716,35.4311549295
SR-0018,-116.106685464,34.4415217636
SR-0019,-116.398725406,34.0294160371
SR-0020,-116.488827905,34.8953077295
SR-0021,-116.596793123,34.7532917621
SR-0022,-116.596793123,34.7532917621
SR-0023,-116.750699187,34.7113926653
SR-0024,-121.919179373,41.6470105776
SR-0025,-119.57664591,33.9744673106
SR-0026,-119.684524964,34.2019110305
SR-0027,-117.664607099,33.9239177711
SR-0028,-121.896207122,37.9234872208
SR-0029,-117.370408289,34.2893003251
SR-0030,-115.810147961,34.2951039495
SR-0031,-115.908574443,34.3339842397
SR-0032,-122.80113162,38.899380892
SR-0033,-118.301912489,33.7725449436
SR-0034,-118.36686899,33.8209586868
SR-0035,-122.030664576,37.9664941996
SR-0036,-122.030664576,37.9664941996
SR-0037,-117.234904739,32.4508945004
SR-0038,-116.602562019,35.3145526263
SR-0039,-116.691640348,35.1501613838
SR-0040,-117.453851866,34.1935992745
SR-0041,-117.533663985,34.1692135693
SR-0042,-117.531938154,34.1690914432
SR-0043,-119.992388868,35.0232393877
SR-0044,-120.351382339,41.7526997525
SR-0045,-116.736354282,36.0762420968
SR-0046,-116.757118463,36.0610532997
SR-0047,-116.769494505,36.2271976843
SR-0048,-118.185475635,37.7842263471
SR-0049,-118.185475635,37.7842263471
SR-0050,-118.010939076,37.5674486279
SR-0051,-118.010939076,37.5674486279
SR-0052,-118.161790669,37.7361631283
SR-0053,-117.260595468,36.8798186011
SR-0054,-116.538285211,35.75043075
SR-0055,-117.967622545,37.3730652244
SR-0056,-118.701353116,34.4448283258
SR-0057,-118.701353116,34.4448283258
SR-0058,-120.103861805,39.4795849539
SR-0059,-117.654176169,36.900223155
SR-0060,-116.505906649,33.1184105569
SR-0061,-120.254559972,35.0428741182
SR-0062,-115.765113147133,33.1207898834059
