sid,name
SR-0001,approx centroid
SR-0002,East Benner Creek
SR-0003,Ash Hill
SR-0004,approx centroid
SR-0005,approx centroid
SR-0006,per Page and Renne (1994)
SR-0007,approx centroid
SR-0008,Beebe Ranch
SR-0009,approx centroid
SR-0010,BM1
SR-0011,approx centroid
SR-0012,approx centroid
SR-0013,approx centroid
SR-0014,per Oskin and Iriondo (2004)
SR-0015,approx centroid
SR-0016,approx centroid
SR-0017,Oak Tree
SR-0018,approx centroid
SR-0019,approx centroid
SR-0020,approx centroid
SR-0021,Sheep Creek Wash
SR-0022,Sheep Creek Wash
SR-0023,per Oskin and others (2008)
SR-0024,south of Antelope Sink
SR-0025,approx centroid
SR-0026,approx centroid
SR-0027,approx centroid
SR-0028,approx centroid
SR-0029,Meisling (1984)
SR-0030,approx centroid
SR-0031,approx centroid
SR-0032,per Clark and others (1984)
SR-0033,per Stephenson
SR-0034,approx centroid
SR-0035,Galindo Creek
SR-0036,Galindo Creek
SR-0037,approx centroid
SR-0038,approx centroid
SR-0039,approx centroid
SR-0040,Lytle Creek
SR-0041,Day Canyon
SR-0042,Day Canyon
SR-0043,approx centroid
SR-0044,approx centroid
SR-0045,Willow Creek
SR-0046,Mormon Point Canyon
SR-0047,Badwater
SR-0048,Indian Creek Fan
SR-0049,Indian Creek Fan
SR-0050,Furnace Creek Fan
SR-0051,Furnace Creek Fan
SR-0052,approx centroid
SR-0053,Red Wall Canyon
SR-0054,approx centroid
SR-0055,Deep Springs College
SR-0056,"Near Ramona Oil field, to Castaic Junction oil field."
SR-0057,"Near Ramona Oil field, to Castaic Junction oil field."
SR-0058,approx centroid
SR-0059,approx centroid
SR-0060,approx centroid
SR-0061,approx centroid
SR-0062,approx centroid
SR-0063,per Christofferson and others (2001)
SR-0064,per Shaw and others (2002)
SR-0065,per Shaw and others (2002)
SR-0066,per Oskin
SR-0067,approx centroid
SR-0069,per McCrory (2000)
SR-0070,per McCrory
SR-0071,per McCrory (2000)
SR-0072,per McCrory
SR-0073,per Bryant
SR-0074,approx centroid
SR-0075,approx centroid
SR-0076,approx centroid
SR-0077,approx centroid
SR-0078,per Bryant (1990)
SR-0079,approx centroid
SR-0080,approx centroid
SR-0081,approx centroid
SR-0082,approx centroid
SR-0083,Great Valley 11
SR-0084,approx centroid
SR-0085,approx centroid
SR-0086,approx centroid
SR-0087,approx centroid
SR-0088,approx centroid
SR-0089,approx centroid
SR-0090,approx centroid
SR-0091,approx centroid
SR-0092,approx centroid
SR-0093,near Webb Tract
SR-0094,near Webb Tract
SR-0095,approx centroid
SR-0096,approx centroid
SR-0097,approx centroid
SR-0098,approx centroid
SR-0099,per Berger and others (2010)
SR-0100,approx centroid
SR-0101,per Bursik and others (2003)
SR-0102,per Page and Renne (1994)
SR-0103,per Sawyer and Page (1995)
SR-0104,Hat Creek basalt
SR-0105,per Oskin and others (2008)
SR-0106,Hilton Lakes
SR-0107,McGee Creek MN1A
SR-0108,"McGee Creek ""Tahoe"""
SR-0109,McGee Creek MN2A
SR-0110,Tobacco Flat
SR-0111,Camino Palmero
SR-0112,n/a
SR-0113,per Petersen and Wesnousky
SR-0114,Long Valley Creek
SR-0115,Honey Lake
SR-0116,San Simeon Terrace
SR-0117,Oso Terrace
SR-0118,Tripod Terrace
SR-0119,Airport Creek
SR-0120,Nelson Range Front
SR-0121,n/a
SR-0122,Grapevine Canyon
SR-0123,approx centroid
SR-0124,US - Mexico Border
SR-0125,Independence Creek
SR-0126,Independence Creek
SR-0127,Independence Creek
SR-0128,Symmes Creek
SR-0129,approx centroid
SR-0130,approx centroid
SR-0131,approx centroid
SR-0132,Isabella Auxiliary Dam
SR-0133,Soda Spring
SR-0134,Rincon Spring
SR-0135,approx centroid
SR-0136,approx centroid
SR-0137,approx centroid
SR-0138,approx centroid
SR-0139,Northern site
SR-0140,approx centroid
SR-0141,per Clark (1990)
SR-0142,Little Lake Narrows
SR-0143,approx centroid
SR-0144,"Sites 5, 6, 7"
SR-0145,Site L2
SR-0146,per Darrow and Sylvester
SR-0147,approx centroid
SR-0148,Lopez reservoir
SR-0149,Montana de Oro
SR-0150,per Oskin and others (2008)
SR-0151,Haehl Creek (Channel A)
SR-0152,Haehl Creek (Channel B)
SR-0153,"per Carver and Burke, calculated by McCrory (2000)."
SR-0154,approx centroid
SR-0155,Corral Canyon
SR-0156,"per Treiman (1994), location approximate"
SR-0157,Marie Canyon
SR-0158,Potrero Canyon
SR-0159,"per Treiman (1994), location approximate"
SR-0160,approx centroid
SR-0161,"per Kelsey and Carver (1988), calculated by McCrory (2000)."
SR-0162,"per Carver and others (1986), calculated by McCrory (2000)."
SR-0163,approx centroid
SR-0164,approx centroid
SR-0165,Biskra Palms
SR-0166,City Creek
SR-0167,Plunge Creek
SR-0168,Plunge Creek
SR-0169,Masonic Home
SR-0170,Badger Canyon
SR-0171,Pacoima Wash - Lopez Cyn - Wilson Cyn
SR-0173,approx centroid
SR-0174,Ellwood Beach
SR-0175,Ventura River faults/folds
SR-0176,Ventura River faults/folds
SR-0177,approx centroid
SR-0178,Lee Vining
SR-0179,Lundy Canyon
SR-0180,Filoli
SR-0181,approx centroid
SR-0182,approx centroid
SR-0183,approx centroid
SR-0184,approx centroid
SR-0185,approx centroid
SR-0186,Huntington Beach
SR-0187,Inglewood Oil Field (location approximate)
SR-0188,approx centroid
SR-0189,Ord Mountains
SR-0190,Grapevine Canyon
