sid,min,max
SR-0001,0.2,1
SR-0002,1.1,3.3
SR-0003,0.2,1
SR-0004,0,0.2
SR-0005,1,5
SR-0006,0,0.5
SR-0007,0,0.2
SR-0008,6.4,10.4
SR-0009,0,0.2
SR-0010,0.45,0.68
SR-0011,0.2,1
SR-0012,0.2,1
SR-0013,0.2,1
SR-0014,0.09,0.89
SR-0015,0.2,1
SR-0016,5,35
SR-0017,0,0.2
SR-0018,0.2,1
SR-0019,0.2,1
SR-0020,0.2,1
SR-0021,1,1.8
SR-0022,1.5,2.6
SR-0023,0.8,2
SR-0024,0.2,1
SR-0025,1,5
SR-0026,0.2,1
SR-0027,1,5
SR-0028,0.2,1
SR-0029,0.3,0.6
SR-0030,0.2,1
SR-0031,0,0.2
SR-0032,0,1
SR-0033,2.5,3.8
SR-0034,1,5
SR-0035,1,5.4
SR-0036,3.1,3.7
SR-0037,1,5
SR-0038,0,0.2
SR-0039,0,0.2
SR-0040,1,5
SR-0041,1,1.4
SR-0042,1,1.2
SR-0043,0,0.2
SR-0044,0.2,1
SR-0045,1,3
SR-0046,0.8,1.2
SR-0047,0.6,1.1
SR-0048,2.1,2.9
SR-0049,0.4,0.7
SR-0050,2.7,3.5
SR-0051,0.09,0.11
SR-0052,1,5
SR-0053,3.1,6.1
SR-0054,0.2,1
SR-0055,0.2,1
SR-0056,0,1
SR-0057,1,5
SR-0058,0,0.2
SR-0059,0.2,1
SR-0060,0.2,1
SR-0061,0.2,1
SR-0062,0.2,1
SR-0063,0.2,1
SR-0064,0.2,1
SR-0065,0.2,1.7
SR-0066,0.2,1
SR-0067,0.2,1
SR-0069,0.2,1
SR-0070,0.2,1
SR-0071,0.2,1
SR-0072,0.8,1.2
SR-0073,0.2,1
SR-0074,0,0.2
SR-0075,0.2,1
SR-0076,1,5
SR-0077,0,0.2
SR-0078,0.15,0.38
SR-0079,0,0.2
SR-0080,0.2,1
SR-0081,0,0.2
SR-0082,1,5
SR-0083,1,5
SR-0084,1,5
SR-0085,1,5
SR-0086,1,5
SR-0087,0,0.2
SR-0088,1,5
SR-0089,0.2,1
SR-0090,1,5
SR-0091,1,5
SR-0092,1,5
SR-0093,0.2,0.6
SR-0094,0.1,1.2
SR-0095,0.2,1
SR-0096,1,5
SR-0097,1,5
SR-0098,1,5
SR-0099,2,4.9
SR-0100,0.2,1
SR-0101,0.2,1
SR-0102,0.39,1
SR-0103,0.2,0.43
SR-0104,1.8,3.1
SR-0105,0.8,1.1
SR-0106,0.1,0.8
SR-0107,0.9,1.2
SR-0108,0.9,2
SR-0109,1,1.3
SR-0110,1.1,2
SR-0111,0.33,0.37
SR-0112,0.2,1
SR-0113,0.3,5.3
SR-0114,1.3,1.9
SR-0115,1.1,2.3
SR-0116,8.6,11.2
SR-0117,0.7,2.6
SR-0118,0.8,7.8
SR-0119,0.9,3.4
SR-0120,1.6,2
SR-0121,2.3,4.3
SR-0122,3.3,4
SR-0123,1,5
SR-0124,15,20
SR-0125,0.05,0.12
SR-0126,0.07,0.16
SR-0127,0.08,0.19
SR-0128,0.2,0.4
SR-0129,0,0.2
SR-0130,0,0.2
SR-0131,0,0.2
SR-0132,0.1,0.3
SR-0133,0.1,0.2
SR-0134,0.2,0.3
SR-0135,0,0.2
SR-0136,0,0.2
SR-0137,0.2,1
SR-0138,0,0.2
SR-0139,0.6,1
SR-0140,0.2,1
SR-0141,0.012,0.017
SR-0142,0.7,1.3
SR-0143,1,5
SR-0144,1.8,2.8
SR-0145,2.5,6.7
SR-0146,1.7,3.3
SR-0147,0,0.2
SR-0148,0,0.1
SR-0149,0.2,0.4
SR-0150,0.2,0.6
SR-0151,6,35
SR-0152,8,35
SR-0153,0.5,0.7
SR-0154,0.2,1
SR-0155,0.2,1
SR-0156,1,2
SR-0157,0.02,0.03
SR-0158,0.2,1
SR-0159,0.2,0.8
SR-0160,0,0.2
SR-0161,0.4,0.6
SR-0162,0.7,0.8
SR-0163,0,0.2
SR-0164,5,35
SR-0165,12,22
SR-0166,1.6,2.6
SR-0167,6.3,18.5
SR-0168,7,15.7
SR-0169,7.8,10.6
SR-0170,8.3,16
SR-0171,1.6,3
SR-0173,0.2,1
SR-0174,0.2,1
SR-0175,0.4,1.6
SR-0176,0.7,2.3
SR-0177,0.2,1
SR-0178,0.3,0.5
SR-0179,0.92,1.4
SR-0180,13,21
SR-0181,1,5
SR-0182,0,0.2
SR-0183,0,0.2
SR-0184,0.2,1
SR-0185,0,0.2
SR-0186,0.16,0.35
SR-0187,0.2,0.7
SR-0188,1,5
SR-0189,0.07,0.14
SR-0190,0.15,0.35
SR-0191,0.12,0.23
SR-0192,0.18,0.3
SR-0193,0.23,0.68
SR-0194,0.35,0.6
SR-0196,0.2,1
SR-0198,1,5
SR-0199,3.4,4.2
SR-0200,3.7,4.5
SR-0201,9.7,13.1
SR-0202,4.4,10.4
SR-0203,4.8,4.9
SR-0204,0,0.2
SR-0205,0.5,2.5
SR-0206,0.2,0.28
SR-0207,2.8,4.5
SR-0208,0.5,7.8
SR-0209,0,0.2
SR-0210,2.7,3
SR-0211,3.7,4.3
SR-0212,1.6,2.5
SR-0213,1.57,3.15
SR-0214,1.2,4.2
SR-0215,2.6,4
SR-0216,0.2,1
SR-0217,0.2,1
SR-0218,0,0.2
SR-0219,0.8,1.2
SR-0220,0.2,1
SR-0221,0.3,2
SR-0222,1.3,1.4
SR-0223,0,0.2
SR-0224,0.1,0.9
SR-0225,1.13,1.73
SR-0226,0.9,1.7
SR-0227,0.3,1.13
SR-0228,1.1,5
SR-0229,1.3,3
SR-0230,1,5
SR-0231,1.5,5
SR-0232,1.5,5.9
SR-0233,1.6,2.3
SR-0234,0.5,0.7
SR-0235,0,0.2
SR-0236,0.2,1
SR-0237,0,0.2
SR-0238,1,5
SR-0239,0,0.2
SR-0240,1,5
SR-0241,0.3,0.6
SR-0242,0,0.2
SR-0243,1.07,2
SR-0244,0.4,0.5
SR-0245,0.4,0.5
SR-0246,0.4,0.8
SR-0247,0.5,0.6
SR-0248,0.5,0.9
SR-0249,0.5,1
SR-0250,0.4,0.6
SR-0251,0.4,0.6
SR-0252,0.4,0.8
SR-0253,0.5,0.6
SR-0254,0.5,0.8
SR-0255,0.6,1
SR-0256,0.2,1
SR-0258,1.03,1.07
SR-0259,0.95,1.75
SR-0260,6.8,10.6
SR-0261,3.2,4
SR-0262,1.8,2.8
SR-0263,1,5
SR-0264,1.2,1.8
SR-0265,1.9,5.3
SR-0266,3.5,35
SR-0267,3,9
SR-0268,1,5
SR-0269,0.42,0.79
SR-0270,0.2,1
SR-0271,0.04,0.11
SR-0272,0.05,0.18
SR-0273,1,5
SR-0274,0.2,1
SR-0275,0.2,1
SR-0276,0.1,0.2
SR-0277,0.7,1.1
SR-0278,0,0.2
SR-0279,2.1,9.8
SR-0280,0.15,10.1
SR-0281,1,5
SR-0282,0,0.2
SR-0283,0.6,0.9
SR-0284,0.28,0.77
SR-0285,1.2,3
SR-0286,0.27,0.82
SR-0288,0.6,3
SR-0289,0,0.2
SR-0290,0.5,0.9
SR-0291,0,0.2
SR-0292,2,6
SR-0293,0.5,0.7
SR-0294,0.2,1
SR-0295,0.3,0.5
SR-0296,0.2,1
SR-0297,0.63,0.94
SR-0298,0.5,1.6
SR-0300,0.2,1
SR-0301,0,0.2
SR-0302,0.7,1.1
SR-0303,2.1,2.3
SR-0304,0.4,0.44
SR-0305,0.6,0.8
SR-0306,6,7
SR-0307,0,0.2
SR-0308,0.37,0.63
SR-0309,0.43,0.81
SR-0310,0.9,3.25
SR-0311,0.2,0.3
SR-0312,0.3,0.4
SR-0313,0.37,0.57
SR-0314,0.7,1
SR-0315,0.9,1
SR-0316,0.2,0.3
SR-0318,0.2,1
SR-0319,0.04,0.6
SR-0320,5,35
SR-0321,2.3,6.2
SR-0322,13,28
SR-0323,21,28
SR-0324,19,30
SR-0325,21,31
SR-0326,20,28
SR-0327,21,28
SR-0328,30,37
SR-0329,28.9,42.3
SR-0330,20,40
SR-0331,34,51
SR-0332,5,35
SR-0333,25,40.6
SR-0334,29.3,35.6
SR-0335,5,35
SR-0336,5,35
SR-0337,31,36.8
SR-0338,35,37
SR-0339,23,29.6
SR-0340,18.2,37.2
SR-0341,18,22
SR-0342,20.5,24.5
SR-0344,23,28
SR-0345,19,27
SR-0346,15,23
SR-0347,22,26
SR-0348,5,35
SR-0349,1.6,1.8
SR-0350,0.32,1.52
SR-0351,1.1,4.9
SR-0352,0.72,0.78
SR-0353,0.6,4.5
SR-0354,0.9,2.1
SR-0355,1.39,1.58
SR-0356,2.1,2.9
SR-0357,1,5
SR-0358,1.2,2.8
SR-0359,0.6,4.3
SR-0360,0.4,1.4
SR-0361,0.8,1.7
SR-0362,0.6,4
SR-0363,0.7,1.2
SR-0364,1.1,1.4
SR-0365,0.9,1.1
SR-0366,0.52,1.36
SR-0367,0.6,3
SR-0368,0.6,1.2
SR-0369,0.4,0.5
SR-0370,0.77,1.32
SR-0371,0.6,1
SR-0372,2.6,3.4
SR-0373,0.8,3.3
SR-0374,0.8,1.2
SR-0375,1.25,1.5
SR-0376,0.5,3
SR-0377,0.1,0.6
SR-0378,5,9
SR-0379,1,5
SR-0380,5.7,8.9
SR-0381,2.5,7.2
SR-0382,5.9,8.9
SR-0383,0.9,1.7
SR-0384,2.7,4.8
SR-0385,5.6,9.5
SR-0386,5.7,10.3
SR-0387,6.9,10.9
SR-0388,5,35
SR-0389,11.3,18.2
SR-0390,9,23
SR-0391,5,35
SR-0392,12.8,18.3
SR-0393,1.7,35
SR-0394,1.37,2.55
SR-0395,1,1.5
SR-0396,2.4,6.8
SR-0397,2.95,4.35
SR-0398,1.4,2.6
SR-0399,1.2,3.8
SR-0400,1.45,3.65
SR-0401,2.4,3.5
SR-0402,1.8,4.6
SR-0403,1.8,5.2
SR-0404,2.3,6.9
SR-0405,3.2,6.6
SR-0406,1.65,10.35
SR-0407,1,4.9
SR-0408,5,35
SR-0409,1,17
SR-0410,3,5.9
SR-0411,4.8,7.2
SR-0412,5.3,5.9
SR-0413,5.3,7.1
SR-0414,5.3,10.7
SR-0415,1.6,3.3
SR-0416,12.2,16.2
SR-0417,5,8
SR-0418,4,9
SR-0419,5,9
SR-0420,5.4,7.8
SR-0421,5,35
SR-0422,8.4,12.4
SR-0423,9,35
SR-0424,11,19
SR-0425,3,8
SR-0426,5,6
SR-0427,3,7
SR-0428,0.46,1.5
SR-0429,0.2,1
SR-0430,0.46,1.5
SR-0431,0,0.2
SR-0432,0.33,0.71
SR-0433,2,3.33
SR-0434,0.33,0.71
SR-0435,0,0.2
SR-0436,0.006,0.02
SR-0437,0,0.2
SR-0438,1.3,1.7
SR-0439,0,0.2
SR-0440,0.7,1
SR-0441,0,0.2
SR-0442,0,0.2
SR-0443,0.16,0.22
SR-0444,0,0.2
SR-0445,0,0.2
SR-0446,0,0.2
SR-0447,0,0.2
SR-0448,0,0.2
SR-0449,0,0.2
SR-0450,0.038,0.24
SR-0451,0.2,1
SR-0452,0,0.2
SR-0453,0,0.2
SR-0454,1.5,2
SR-0455,0.08,0.28
SR-0456,0.03,0.05
SR-0457,0.08,0.15
SR-0458,0,0.2
SR-0459,0,0.2
SR-0460,0,0.2
SR-0461,0,0.2
SR-0462,0,0.2
SR-0463,0,0.2
SR-0464,0,0.2
SR-0465,0.2,1
SR-0466,0.07,0.23
SR-0467,0.005,0.014
SR-0468,0,0.2
SR-0469,0,0.2
SR-0470,0,0.2
SR-0471,0,0.2
SR-0472,0,0.2
SR-0473,0,0.2
SR-0474,0,0.2
SR-0475,0,0.2
SR-0476,0,0.2
SR-0477,0,0.2
SR-0478,0,0.2
SR-0479,0.15,0.18
SR-0480,0.4,1.7
SR-0481,0,0.2
SR-0482,0,0.2
SR-0483,0,0.2
SR-0484,0,0.2
SR-0485,0.013,0.15
SR-0486,0.04,0.29
SR-0487,0.09,0.36
SR-0488,0.029,0.19
SR-0489,0.002,0.08
SR-0490,0.2,1
SR-0491,0,0.2
SR-0492,0,0.2
SR-0493,0,0.2
SR-0494,0,0.2
SR-0495,0,0.2
SR-0496,0,0.2
SR-0497,0,0.2
SR-0498,0.7,0.9
SR-0499,0,0.2
SR-0500,0,0.2
SR-0501,0.4,0.6
SR-0502,0,0.2
SR-0503,0,0.2
SR-0504,0,0.2
SR-0505,0.2,1
SR-0506,0,0.2
SR-0507,1.1,3.8
SR-0508,0,0.2
SR-0509,0.14,0.2
SR-0510,0.27,0.47
