FaultName,FaultID,State,SiteName,CPDId,SliprateId,Longitude,Latitude,DistToCFMFault,CFM6ObjectName,DataType,Observation,PrefRate,LowRate,HighRate,RateUncr,RateType,ReptReint,OffsetType,AgeType,NumEvents,RateAge,QbinMin,QbinMax,Reference
1,Airport Lake,1,CA,approx centroid,S-0001,SR-0001,-117.773321052000,35.950322647100,0.17,SNFA-ALFZ-COSO-Airport_Lake_fault-CFM5,QFFD slip rate bin,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0.2,1,unknown,No value listed for QFFD slip rate bins,reported,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0.2,1,QFFD
2,Airport Lake (south),310,CA,approx centroid,S-0002,SR-1232,-117.703396729286,35.836480629597,3.34,SNFA-LLFZ-EAST-Eastern_Little_Lake_main_fault-CFM5,QFFD slip rate bin,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0.2,1,unknown,No value listed for QFFD slip rate bins,reported,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0.2,1,QFFD
3,Almanor,2,CA,East Benner Creek,S-0003,SR-0002,-121.238493882000,40.405738796700,433.29,N/A,slip rate study,Net slip rate and net slip as reported by Kelson and others. (1995). Kelson age estimate based on correlation of glacial deposits. Kelson and others. (1995) also report other interval rates of > 0.9 - 1.7 mm/yr (59 - 75 ka) and > 0.5 - 1.8 mm/yr (130 -,,1.1,3.3,unknown,net (vertical + left-lateral),reported (author reported rate as recorded in Appendix B),moraine,correlation,unlisted,11-130,1,5,Kelson and others (1995)
4,Anacapa - Dume,3,CA,approx centroid,S-0004,SR-1215,-118.891441852127,33.951628373675,0.09,WTRA-SBTS-ANCP-Anacapa_Dume_fault-CFM3,QFFD slip rate bin,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0.2,1,unknown,No value listed for QFFD slip rate bins,reported,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0.2,1,QFFD
5,Anaheim,5,CA,approx centroid,S-0005,SR-1221,-118.006498675976,33.827235209544,0.05,PNRA-CLEP-LABS-Anaheim_fault-CFM1,slip rate study,Rate reported by Mueller (2004) on relief of Upper San Pedro Formation.,0.11,0.09,0.14,unknown,unprojected (vertical),reported (author reported rate as recorded in Appendix B),statigraphic unit,regional age corellation,unlisted,130-750,0.2,1,Mueller (2004)
6,Antelope Valley,1000,CA,dePolo and Anderson location,S-0006,SR-0428,-119.524017010000,38.601428302700,184.4,N/A,dePolo and Anderson calibration rate,unknown,0.73,0.46,1.5,unknown,unprojected (vertical),reported,unknown,unknown,unknown,11,0.2,1,dePolo and Anderson (2000) Basin Research
7,Antelope Valley,1000,CA,per Sarmiento and others. (2011),S-0007,SR-0429,-119.523954931000,38.592464321600,183.58,N/A,slip rate study,"One interval slip rate based on interevent time of 5,000 yrs, between most recent event and penultimate event. Similar to rates reported by Bryant (1984a).",0.7,0.2,1,unknown,vertical,reported (author reported rate as recorded in Appendix B),trench stratigraphy,C14,2,1-11,0.2,1,Sarmiento and others (2011); Bryant (1984a)
8,Antelope Valley,1000,CA,dePolo and Anderson location,S-0008,SR-0430,-119.524005797000,38.601377456300,184.39,N/A,dePolo and Anderson calibration rate,unknown,0.73,0.46,1.5,unknown,unprojected (vertical),reported,unknown,unknown,unknown,11,0.2,1,dePolo and Anderson (2000) Basin Research
9,Ash Hill,6,CA,Ash Hill,S-0009,SR-0003,-117.419905469000,36.282985157300,0.36,SNFA-AHTC-ASHH-Ash_Hill_fault-CFM2,slip rate study,"Long term slip rate, net slip reported based on 1200 +/- 300 m of hz, 230 +/- 30 m vertical, and 5.2 : 1 Hz:V dip slip ratio (321 slip vector). Rate is roughly consistent with the Late Quaternary rate reported by the same authors.",0.3,0.2,1,unknown,net (vertical + right-lateral),reported (author reported rate as recorded in Appendix B),basalt flow,K/Ar,unlisted,> 2600,0.2,1,Densmore and Anderson (1997)
10,Baker,7,CA,approx centroid,S-0010,SR-0004,-116.152947357000,35.266893436200,17.01,N/A,QFFD slip rate bin,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0,0.2,unknown,No value listed for QFFD slip rate bins,reported,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0,0.2,QFFD
